N°;Fecha Hora Inicio;Fecha Hora Termino;tfs;Modos de falla;Modos de falla;;;
282;10-06-2023 15:20;10-06-2023 15:30;0:10;  Operaciones;;;;
283;10-06-2023 13:05;10-06-2023 13:15;0:10;    Electrocontrol;;;;
284;10-06-2023 12:40;10-06-2023 13:05;0:25;    Mecánica;;;;
285;10-06-2023 12:25;10-06-2023 12:40;0:15;  Operaciones;;;;
286;10-06-2023 11:25;10-06-2023 12:25;1:00;  Operaciones;;;;
287;10-06-2023 10:00;10-06-2023 10:20;0:20;  Operaciones;;;;
288;10-06-2023 9:11;10-06-2023 9:11;0:00;  Operaciones;;;;
289;10-06-2023 5:00;10-06-2023 5:20;0:20;  Operaciones;;;;
290;10-06-2023 4:20;10-06-2023 4:50;0:30;  Operaciones;;;;
291;10-06-2023 2:25;10-06-2023 2:40;0:15;  Operaciones;;;;
292;10-06-2023 1:40;10-06-2023 2:10;0:30;  Operaciones;;;;
293;09-06-2023 21:30;09-06-2023 23:00;1:30;  Operaciones;;;;
294;09-06-2023 20:20;09-06-2023 20:40;0:20;  Operaciones;;;;
295;09-06-2023 19:00;09-06-2023 19:30;0:30;  Operaciones;;;;
296;09-06-2023 10:40;09-06-2023 14:10;3:30;  Operaciones;;;;
297;09-06-2023 8:18;09-06-2023 8:18;0:00;  Operaciones;;;;
298;09-06-2023 8:00;09-06-2023 8:15;0:15;  Operaciones;;;;
299;09-06-2023 7:00;09-06-2023 7:30;0:30;  Operaciones;;;;
300;09-06-2023 3:50;09-06-2023 4:10;0:20;  Operaciones;;;;
301;09-06-2023 3:00;09-06-2023 3:20;0:20;  Operaciones;;;;
302;09-06-2023 0:45;09-06-2023 1:45;1:00;  Operaciones;;;;
303;09-06-2023 0:00;09-06-2023 0:45;0:45;    Mecánica;;;;
304;08-06-2023 22:30;08-06-2023 22:50;0:20;  Operaciones;;;;
305;08-06-2023 18:30;08-06-2023 18:50;0:20;  Operaciones;;;;
306;08-06-2023 17:45;08-06-2023 18:10;0:25;  Operaciones;;;;
307;08-06-2023 16:25;08-06-2023 17:00;0:35;  Operaciones;;;;
308;08-06-2023 13:15;08-06-2023 13:30;0:15;  Operaciones;;;;
309;08-06-2023 12:45;08-06-2023 13:10;0:25;  Operaciones;;;;
310;08-06-2023 10:30;08-06-2023 11:00;0:30;  Operaciones;;;;
311;08-06-2023 9:30;08-06-2023 10:30;1:00;  Operaciones;;;;
312;08-06-2023 8:20;08-06-2023 8:45;0:25;  Operaciones;;;;
313;08-06-2023 0:50;08-06-2023 1:10;0:20;  Operaciones;;;;
314;08-06-2023 0:00;08-06-2023 0:15;0:15;  Operaciones;;;;
315;07-06-2023 23:00;07-06-2023 23:20;0:20;  Operaciones;;;;
316;07-06-2023 22:20;07-06-2023 22:40;0:20;  Operaciones;;;;
317;07-06-2023 21:20;07-06-2023 22:20;1:00;  Operaciones;;;;
318;07-06-2023 18:20;07-06-2023 18:50;0:30;  Operaciones;;;;
319;07-06-2023 16:20;07-06-2023 17:30;1:10;  Operaciones;;;;
320;07-06-2023 15:25;07-06-2023 15:50;0:25;  Operaciones;;;;
321;07-06-2023 14:00;07-06-2023 14:30;0:30;  Operaciones;;;;
322;07-06-2023 11:30;07-06-2023 12:30;1:00;  Operaciones;;;;
323;07-06-2023 9:30;07-06-2023 10:00;0:30;  Operaciones;;;;
324;07-06-2023 6:00;07-06-2023 6:20;0:20;  Operaciones;;;;
325;07-06-2023 4:20;07-06-2023 4:50;0:30;  Operaciones;;;;
326;07-06-2023 4:00;07-06-2023 4:15;0:15;  Operaciones;;;;
327;07-06-2023 3:20;07-06-2023 4:00;0:40;  Operaciones;;;;
328;07-06-2023 2:20;07-06-2023 3:20;1:00;  Operaciones;;;;
329;07-06-2023 1:50;07-06-2023 2:10;0:20;  Operaciones;;;;
330;07-06-2023 1:00;07-06-2023 1:10;0:10;  Operaciones;;;;
331;06-06-2023 22:30;06-06-2023 23:00;0:30;  Operaciones;;;;
332;06-06-2023 20:40;06-06-2023 21:10;0:30;  Operaciones;;;;
333;06-06-2023 18:15;06-06-2023 19:15;1:00;  Operaciones;;;;
334;06-06-2023 16:00;06-06-2023 17:20;1:20;  Operaciones;;;;
335;06-06-2023 14:10;06-06-2023 15:59;1:49;  Operaciones;;;;
336;06-06-2023 12:30;06-06-2023 13:00;0:30;  Operaciones;;;;
337;06-06-2023 11:00;06-06-2023 11:30;0:30;  Operaciones;;;;
338;06-06-2023 9:45;06-06-2023 10:20;0:35;  Operaciones;;;;
339;06-06-2023 8:30;06-06-2023 9:00;0:30;    Electrocontrol;;;;
340;06-06-2023 6:00;06-06-2023 6:30;0:30;  Operaciones;;;;
341;06-06-2023 5:00;06-06-2023 5:20;0:20;  Operaciones;;;;
342;06-06-2023 3:25;06-06-2023 4:30;1:05;    Mecánica;;;;
343;06-06-2023 3:15;06-06-2023 3:25;0:10;  Operaciones;;;;
344;06-06-2023 2:50;06-06-2023 3:05;0:15;  Operaciones;;;;
345;06-06-2023 1:50;06-06-2023 2:20;0:30;  Operaciones;;;;
346;06-06-2023 1:10;06-06-2023 1:25;0:15;  Operaciones;;;;
347;06-06-2023 0:15;06-06-2023 0:30;0:15;  Operaciones;;;;
348;05-06-2023 23:00;05-06-2023 23:20;0:20;  Operaciones;;;;
